小区名称,地址,建筑年份,楼栋,单元,户室,朝向,面积
ang mo kio,mayflower,2009,159,#01-528,101,南北,100
ang mo kio,mayflower,2009,159,#01-528,102,东西,120
ang mo kio,mayflower,2009,159,#01-528,201,南北,100
ang mo kio,mayflower,2009,159,#01-528,202,东西,120
ang mo kio,mayflower,2009,159,#01-528,301,南北,100
ang mo kio,mayflower,2009,159,#01-528,302,东西,120
ang mo kio,mayflower,2009,159,#01-528,401,南北,100
ang mo kio,mayflower,2009,159,#01-528,402,东西,120
ang mo kio,mayflower,2009,159,#01-528,501,南北,100
ang mo kio,mayflower,2009,159,#01-528,502,东西,120
ang mo kio,mayflower,2009,159,2,101,东西,140
ang mo kio,mayflower,2009,159,2,102,南北,100
ang mo kio,mayflower,2009,159,2,201,东西,140
ang mo kio,mayflower,2009,159,2,202,南北,100
ang mo kio,mayflower,2009,159,2,301,东西,140
ang mo kio,mayflower,2009,159,2,302,南北,100
ang mo kio,mayflower,2009,159,2,401,东西,140
ang mo kio,mayflower,2009,159,2,402,南北,100
ang mo kio,mayflower,2009,159,2,501,东西,140
ang mo kio,mayflower,2009,159,2,502,南北,100
